0.16033,0.079589,-0.18513,-0.58255,-0.9166,-1,-0.81097,-0.47791,-0.14699,0.10975,0.28695,0.39921,0.45757,0.47202,0.45904,0.43547,0.4067,0.36983,0.32656
-0.023016,-0.19422,-0.42262,-0.68068,-0.90146,-1,-0.93161,-0.72782,-0.46617,-0.21432,-0.0074509,0.14347,0.24092,0.29301,0.3093,0.30214,0.28359,0.26012,0.23631
0.21404,0.27101,0.094101,-0.34964,-0.8188,-1,-0.79703,-0.35898,0.095018,0.42574,0.60494,0.66411,0.64522,0.58435,0.50674,0.42579,0.3468,0.27117,0.19977
-0.085444,-0.23468,-0.51712,-0.8336,-1,-0.92274,-0.66293,-0.34438,-0.056125,0.17041,0.33886,0.46167,0.54842,0.60503,0.63526,0.64458,0.64139,0.63218,0.61815
0.082587,0.19229,0.17049,-0.197,-0.75559,-1,-0.65374,0.036815,0.62974,0.88691,0.84845,0.68148,0.52054,0.40786,0.32499,0.24565,0.16105,0.077667,0.0049996
-0.020755,-0.068281,-0.2655,-0.63717,-0.97823,-1,-0.62486,-0.034605,0.51885,0.87631,1.0036,0.94985,0.79443,0.6072,0.43187,0.28739,0.17657,0.09448,0.034088
-0.026473,-0.14083,-0.35241,-0.64345,-0.91109,-1,-0.84841,-0.55079,-0.24677,-0.011032,0.14904,0.25238,0.31933,0.36491,0.39848,0.42528,0.44876,0.47098,0.49153
0.025468,0.027946,-0.126,-0.49055,-0.87657,-1,-0.76245,-0.29572,0.19363,0.56035,0.75609,0.80158,0.7489,0.6508,0.542,0.43807,0.34353,0.25884,0.18397
-0.08491,-0.25706,-0.53645,-0.8265,-1,-0.98372,-0.79889,-0.53551,-0.27912,-0.067419,0.098342,0.22935,0.33731,0.43104,0.51587,0.59329,0.66053,0.71146,0.73936
0.30018,0.26644,-0.037167,-0.49994,-0.87393,-1,-0.90151,-0.69139,-0.46397,-0.26431,-0.10096,0.035079,0.15618,0.26983,0.37605,0.46976,0.54512,0.59806,0.62624
-0.1364,-0.33257,-0.60564,-0.86293,-1,-0.96859,-0.79539,-0.5512,-0.30306,-0.087901,0.085131,0.22199,0.3322,0.42255,0.49739,0.56006,0.61192,0.65142,0.67436
